in s,C2 in V
-2.19983E-02,9.537E-01
-2.19978E-02,9.439E-01
-2.19972E-02,9.537E-01
-2.19967E-02,9.439E-01
-2.19962E-02,9.342E-01
-2.19957E-02,9.439E-01
-2.19952E-02,9.439E-01
-2.19947E-02,9.537E-01
-2.19942E-02,9.439E-01
-2.19937E-02,9.439E-01
-2.19932E-02,9.439E-01
-2.19927E-02,9.342E-01
-2.19922E-02,9.439E-01
-2.19917E-02,9.439E-01
-2.19912E-02,9.439E-01
-2.19907E-02,9.146E-01
-2.19902E-02,9.342E-01
-2.19897E-02,9.146E-01
-2.19892E-02,9.342E-01
-2.19887E-02,9.146E-01
-2.19881E-02,9.146E-01
-2.19876E-02,8.854E-01
-2.19871E-02,9.146E-01
-2.19866E-02,9.049E-01
-2.19861E-02,9.146E-01
-2.19856E-02,9.146E-01
-2.19851E-02,9.342E-01
-2.19846E-02,9.146E-01
-2.19841E-02,9.049E-01
-2.19836E-02,9.342E-01
-2.19831E-02,9.146E-01
-2.19826E-02,9.146E-01
-2.19821E-02,9.439E-01
-2.19816E-02,9.439E-01
-2.19811E-02,9.439E-01
-2.19806E-02,9.342E-01
-2.19801E-02,9.146E-01
-2.19796E-02,9.537E-01
-2.19790E-02,9.244E-01
-2.19785E-02,9.342E-01
-2.19780E-02,9.146E-01
-2.19775E-02,9.146E-01
-2.19770E-02,9.049E-01
-2.19765E-02,8.756E-01
-2.19760E-02,9.244E-01
-2.19755E-02,9.439E-01
-2.19750E-02,9.146E-01
-2.19745E-02,8.756E-01
-2.19740E-02,9.244E-01
-2.19735E-02,9.244E-01
-2.19730E-02,8.854E-01
-2.19725E-02,9.146E-01
-2.19720E-02,9.439E-01
-2.19715E-02,9.049E-01
-2.19710E-02,9.049E-01
-2.19705E-02,9.049E-01
-2.19699E-02,9.439E-01
-2.19694E-02,8.854E-01
-2.19689E-02,9.244E-01
-2.19684E-02,9.146E-01
-2.19679E-02,9.244E-01
