in s,C2 in V
-2.04037E-02,5.0277E+01
-2.04029E-02,5.0277E+01
-2.04022E-02,5.0228E+01
-2.04014E-02,5.0130E+01
-2.04007E-02,5.0033E+01
-2.03999E-02,5.0179E+01
-2.03992E-02,5.0277E+01
-2.03984E-02,5.0081E+01
-2.03977E-02,5.0179E+01
-2.03969E-02,5.0130E+01
-2.03962E-02,5.0179E+01
-2.03954E-02,5.0326E+01
-2.03947E-02,5.0081E+01
-2.03939E-02,5.0130E+01
-2.03932E-02,5.0081E+01
-2.03924E-02,5.0033E+01
-2.03916E-02,5.0179E+01
-2.03909E-02,5.0179E+01
-2.03901E-02,5.0228E+01
-2.03894E-02,5.0179E+01
-2.03886E-02,5.0179E+01
-2.03879E-02,5.0179E+01
-2.03871E-02,5.0179E+01
-2.03864E-02,5.0130E+01
-2.03856E-02,5.0130E+01
-2.03849E-02,5.0130E+01
-2.03841E-02,5.0277E+01
-2.03834E-02,5.0033E+01
-2.03826E-02,5.0277E+01
-2.03819E-02,5.0179E+01
-2.03811E-02,5.0033E+01
-2.03804E-02,5.0277E+01
-2.03796E-02,5.0130E+01
-2.03789E-02,5.0033E+01
-2.03781E-02,5.0228E+01
-2.03774E-02,5.0179E+01
-2.03766E-02,5.0179E+01
-2.03759E-02,5.0228E+01
-2.03751E-02,5.0081E+01
-2.03744E-02,4.9984E+01
-2.03736E-02,5.0179E+01
-2.03728E-02,5.0033E+01
-2.03721E-02,5.0081E+01
-2.03713E-02,5.0033E+01
-2.03706E-02,5.0228E+01
-2.03698E-02,5.0081E+01
-2.03691E-02,5.0179E+01
-2.03683E-02,5.0130E+01
-2.03676E-02,5.0179E+01
-2.03668E-02,5.0033E+01
-2.03661E-02,5.0130E+01
-2.03653E-02,5.0179E+01
-2.03646E-02,5.0179E+01
-2.03638E-02,5.0033E+01
-2.03631E-02,5.0179E+01
-2.03623E-02,5.0130E+01
-2.03616E-02,5.0228E+01
-2.03608E-02,5.0179E+01
-2.03601E-02,5.0179E+01
-2.03593E-02,5.0179E+01
-2.03586E-02,5.0179E+01
-2.03578E-02,5.0179E+01
-2.03571E-02,5.0179E+01
-2.03563E-02,5.0033E+01
-2.03556E-02,5.0179E+01
-2.03548E-02,5.0179E+01
-2.03540E-02,5.0033E+01
-2.03533E-02,5.0081E+01
-2.03525E-02,5.0277E+01
-2.03518E-02,5.0179E+01
-2.03510E-02,5.0033E+01
-2.03503E-02,5.0179E+01
-2.03495E-02,5.0130E+01
-2.03488E-02,4.9984E+01
-2.03480E-02,5.0130E+01
-2.03473E-02,5.0033E+01
-2.03465E-02,5.0179E+01
-2.03458E-02,5.0033E+01
-2.03450E-02,5.0179E+01
-2.03443E-02,5.0081E+01
-2.03435E-02,5.0179E+01
-2.03428E-02,5.0033E+01
-2.03420E-02,5.0033E+01
-2.03413E-02,5.0033E+01
-2.03405E-02,5.0179E+01
-2.03398E-02,5.0033E+01
-2.03390E-02,5.0179E+01
-2.03383E-02,4.9935E+01
-2.03375E-02,5.0277E+01
-2.03368E-02,5.0033E+01
-2.03360E-02,5.0179E+01
-2.03352E-02,5.0081E+01
-2.03345E-02,5.0081E+01
-2.03337E-02,5.0130E+01
-2.03330E-02,5.0179E+01
-2.03322E-02,5.0228E+01
-2.03315E-02,5.0228E+01
-2.03307E-02,5.0130E+01
-2.03300E-02,5.0179E+01
-2.03292E-02,5.0081E+01
-2.03285E-02,5.0228E+01
-2.03277E-02,4.9984E+01
-2.03270E-02,5.0081E+01
-2.03262E-02,5.0033E+01
-2.03255E-02,5.0130E+01
-2.03247E-02,5.0179E+01
-2.03240E-02,5.0228E+01
-2.03232E-02,5.0033E+01
-2.03225E-02,5.0179E+01
-2.03217E-02,5.0081E+01
-2.03210E-02,5.0081E+01
-2.03202E-02,5.0130E+01
-2.03195E-02,5.0033E+01
-2.03187E-02,5.0081E+01
-2.03180E-02,5.0081E+01
-2.03172E-02,5.0130E+01
-2.03164E-02,5.0130E+01
-2.03157E-02,5.0081E+01
-2.03149E-02,5.0277E+01
-2.03142E-02,5.0081E+01
-2.03134E-02,5.0081E+01
-2.03127E-02,5.0179E+01
-2.03119E-02,5.0277E+01
-2.03112E-02,5.0081E+01
-2.03104E-02,5.0179E+01
-2.03097E-02,5.0033E+01
-2.03089E-02,5.0179E+01
-2.03082E-02,5.0081E+01
-2.03074E-02,5.0130E+01
-2.03067E-02,4.9984E+01
-2.03059E-02,5.0326E+01
-2.03052E-02,5.0033E+01
-2.03044E-02,5.0033E+01
-2.03037E-02,5.0179E+01
-2.03029E-02,5.0179E+01
