in s,C3 in V
-7.66194E-03,-1.461E-04
-7.66173E-03,4.398E-04
-7.66153E-03,4.398E-04
-7.66133E-03,2.445E-04
-7.66113E-03,4.398E-04
-7.66093E-03,4.922E-05
-7.66073E-03,6.352E-04
-7.66052E-03,4.922E-05
-7.66032E-03,4.398E-04
-7.66012E-03,8.305E-04
-7.65992E-03,2.445E-04
-7.65972E-03,6.352E-04
-7.65952E-03,6.352E-04
-7.65932E-03,6.352E-04
-7.65911E-03,-1.461E-04
-7.65891E-03,8.305E-04
-7.65871E-03,8.305E-04
-7.65851E-03,6.352E-04
-7.65831E-03,1.416E-03
-7.65811E-03,1.221E-03
-7.65790E-03,1.807E-03
-7.65770E-03,8.305E-04
-7.65750E-03,1.416E-03
-7.65730E-03,2.198E-03
-7.65710E-03,8.305E-04
-7.65690E-03,1.221E-03
-7.65669E-03,1.026E-03
-7.65649E-03,8.305E-04
-7.65629E-03,8.305E-04
-7.65609E-03,1.416E-03
-7.65589E-03,8.305E-04
-7.65569E-03,8.305E-04
-7.65548E-03,8.305E-04
-7.65528E-03,1.221E-03
-7.65508E-03,4.398E-04
-7.65488E-03,4.922E-05
-7.65468E-03,4.398E-04
-7.65448E-03,1.416E-03
-7.65428E-03,1.221E-03
-7.65407E-03,1.416E-03
-7.65387E-03,2.198E-03
-7.65367E-03,8.305E-04
-7.65347E-03,1.612E-03
-7.65327E-03,6.352E-04
-7.65307E-03,6.352E-04
-7.65286E-03,-3.414E-04
-7.65266E-03,2.445E-04
-7.65246E-03,-3.414E-04
-7.65226E-03,-9.273E-04
-7.65206E-03,-5.367E-04
-7.65186E-03,-5.367E-04
-7.65165E-03,-3.414E-04
-7.65145E-03,4.922E-05
-7.65125E-03,-3.414E-04
-7.65105E-03,-5.367E-04
-7.65085E-03,-5.367E-04
-7.65065E-03,4.922E-05
-7.65044E-03,4.922E-05
-7.65024E-03,-1.318E-03
-7.65004E-03,-1.461E-04
-7.64984E-03,2.445E-04
-7.64964E-03,4.398E-04
-7.64944E-03,-5.367E-04
-7.64924E-03,2.445E-04
-7.64903E-03,-5.367E-04
-7.64883E-03,4.922E-05
-7.64863E-03,4.922E-05
-7.64843E-03,2.445E-04
-7.64823E-03,-1.461E-04
-7.64803E-03,2.445E-04
-7.64782E-03,4.398E-04
-7.64762E-03,4.922E-05
-7.64742E-03,4.398E-04
-7.64722E-03,2.445E-04
-7.64702E-03,6.352E-04
-7.64682E-03,-1.461E-04
-7.64661E-03,-5.367E-04
-7.64641E-03,-5.367E-04
-7.64621E-03,2.445E-04
-7.64601E-03,8.305E-04
-7.64581E-03,8.305E-04
-7.64561E-03,8.305E-04
-7.64540E-03,4.922E-05
-7.64520E-03,2.445E-04
-7.64500E-03,6.352E-04
-7.64480E-03,8.305E-04
-7.64460E-03,1.026E-03
-7.64440E-03,1.026E-03
-7.64420E-03,6.352E-04
-7.64399E-03,1.026E-03
-7.64379E-03,1.416E-03
-7.64359E-03,8.305E-04
-7.64339E-03,8.305E-04
-7.64319E-03,2.445E-04
-7.64299E-03,6.352E-04
-7.64278E-03,8.305E-04
-7.64258E-03,2.445E-04
-7.64238E-03,6.352E-04
-7.64218E-03,4.398E-04
-7.64198E-03,4.922E-05
-7.64178E-03,2.445E-04
-7.64157E-03,-5.367E-04
-7.64137E-03,4.398E-04
-7.64117E-03,2.445E-04
-7.64097E-03,4.922E-05
-7.64077E-03,4.922E-05
-7.64057E-03,-5.367E-04
-7.64036E-03,-3.414E-04
-7.64016E-03,2.445E-04
-7.63996E-03,1.221E-03
-7.63976E-03,4.398E-04
-7.63956E-03,-1.461E-04
-7.63936E-03,6.352E-04
-7.63916E-03,1.416E-03
-7.63895E-03,8.305E-04
-7.63875E-03,1.416E-03
-7.63855E-03,1.026E-03
-7.63835E-03,1.026E-03
-7.63815E-03,8.305E-04
-7.63795E-03,1.612E-03
-7.63774E-03,2.002E-03
-7.63754E-03,8.305E-04
-7.63734E-03,6.352E-04
-7.63714E-03,4.398E-04
-7.63694E-03,8.305E-04
-7.63674E-03,6.352E-04
-7.63653E-03,4.398E-04
-7.63633E-03,8.305E-04
-7.63613E-03,2.445E-04
-7.63593E-03,-1.461E-04
-7.63573E-03,4.922E-05
-7.63553E-03,6.352E-04
-7.63532E-03,2.445E-04
-7.63512E-03,6.352E-04
-7.63492E-03,-1.123E-03
-7.63472E-03,4.922E-05
-7.63452E-03,1.026E-03
-7.63432E-03,-7.320E-04
-7.63412E-03,4.922E-05
-7.63391E-03,-9.273E-04
-7.63371E-03,-1.123E-03
-7.63351E-03,-1.318E-03
-7.63331E-03,-2.295E-03
-7.63311E-03,-2.099E-03
-7.63291E-03,-9.273E-04
-7.63270E-03,-3.414E-04
-7.63250E-03,-7.320E-04
-7.63230E-03,-3.414E-04
-7.63210E-03,-9.273E-04
-7.63190E-03,-1.709E-03
-7.63170E-03,-9.273E-04
-7.63149E-03,-7.320E-04
-7.63129E-03,4.922E-05
-7.63109E-03,-5.367E-04
-7.63089E-03,4.398E-04
-7.63069E-03,4.922E-05
-7.63049E-03,8.305E-04
-7.63028E-03,4.398E-04
-7.63008E-03,2.445E-04
-7.62988E-03,8.305E-04
-7.62968E-03,2.002E-03
-7.62948E-03,1.416E-03
-7.62928E-03,1.026E-03
-7.62908E-03,1.026E-03
-7.62887E-03,1.612E-03
-7.62867E-03,1.221E-03
-7.62847E-03,1.612E-03
-7.62827E-03,2.198E-03
-7.62807E-03,1.612E-03
-7.62787E-03,1.807E-03
-7.62766E-03,4.398E-04
-7.62746E-03,6.352E-04
-7.62726E-03,1.026E-03
-7.62706E-03,1.416E-03
-7.62686E-03,8.305E-04
-7.62666E-03,1.416E-03
-7.62645E-03,1.416E-03
-7.62625E-03,8.305E-04
-7.62605E-03,2.445E-04
-7.62585E-03,6.352E-04
-7.62565E-03,8.305E-04
-7.62545E-03,2.445E-04
-7.62524E-03,-1.461E-04
-7.62504E-03,2.198E-03
-7.62484E-03,1.416E-03
-7.62464E-03,8.305E-04
-7.62444E-03,1.221E-03
-7.62424E-03,1.221E-03
-7.62404E-03,1.416E-03
-7.62383E-03,8.305E-04
-7.62363E-03,1.612E-03
-7.62343E-03,1.416E-03
-7.62323E-03,1.416E-03
-7.62303E-03,8.305E-04
-7.62283E-03,1.221E-03
-7.62262E-03,8.305E-04
-7.62242E-03,8.305E-04
-7.62222E-03,8.305E-04
-7.62202E-03,4.398E-04
-7.62182E-03,-3.414E-04
-7.62162E-03,8.305E-04
-7.62141E-03,2.445E-04
-7.62121E-03,2.445E-04
-7.62101E-03,8.305E-04
-7.62081E-03,1.416E-03
-7.62061E-03,8.305E-04
-7.62041E-03,8.305E-04
-7.62020E-03,2.445E-04
-7.62000E-03,2.445E-04
-7.61980E-03,4.398E-04
-7.61960E-03,-3.414E-04
-7.61940E-03,4.398E-04
-7.61920E-03,2.445E-04
-7.61900E-03,1.416E-03
-7.61879E-03,6.352E-04
-7.61859E-03,4.398E-04
-7.61839E-03,1.416E-03
-7.61819E-03,4.398E-04
-7.61799E-03,2.445E-04
-7.61779E-03,1.416E-03
-7.61758E-03,1.221E-03
-7.61738E-03,8.305E-04
-7.61718E-03,8.305E-04
-7.61698E-03,1.612E-03
-7.61678E-03,6.352E-04
-7.61658E-03,4.398E-04
-7.61637E-03,2.445E-04
-7.61617E-03,4.922E-05
-7.61597E-03,6.352E-04
-7.61577E-03,1.026E-03
-7.61557E-03,-3.414E-04
-7.61537E-03,-3.414E-04
-7.61516E-03,-5.367E-04
-7.61496E-03,-7.320E-04
-7.61476E-03,4.922E-05
-7.61456E-03,4.922E-05
-7.61436E-03,-1.461E-04
-7.61416E-03,8.305E-04
-7.61396E-03,2.445E-04
-7.61375E-03,4.922E-05
-7.61355E-03,2.445E-04
-7.61335E-03,1.221E-03
-7.61315E-03,1.416E-03
-7.61295E-03,1.026E-03
-7.61275E-03,6.352E-04
-7.61254E-03,1.026E-03
-7.61234E-03,2.198E-03
-7.61214E-03,1.026E-03
-7.61194E-03,1.416E-03
-7.61174E-03,8.305E-04
-7.61154E-03,1.026E-03
-7.61133E-03,1.612E-03
-7.61113E-03,1.416E-03
-7.61093E-03,1.026E-03
-7.61073E-03,1.221E-03
-7.61053E-03,6.352E-04
-7.61033E-03,4.398E-04
-7.61012E-03,6.352E-04
-7.60992E-03,6.352E-04
-7.60972E-03,4.922E-05
-7.60952E-03,1.026E-03
-7.60932E-03,1.416E-03
-7.60912E-03,4.398E-04
-7.60892E-03,2.445E-04
-7.60871E-03,2.445E-04
-7.60851E-03,2.445E-04
-7.60831E-03,1.416E-03
-7.60811E-03,1.026E-03
-7.60791E-03,4.922E-05
-7.60771E-03,2.445E-04
-7.60750E-03,4.922E-05
-7.60730E-03,4.922E-05
-7.60710E-03,-1.123E-03
-7.60690E-03,-7.320E-04
-7.60670E-03,2.445E-04
-7.60650E-03,-7.320E-04
-7.60629E-03,-3.414E-04
-7.60609E-03,-1.461E-04
-7.60589E-03,-7.320E-04
-7.60569E-03,-5.367E-04
-7.60549E-03,-5.367E-04
-7.60529E-03,-1.513E-03
-7.60508E-03,-9.273E-04
-7.60488E-03,-3.414E-04
-7.60468E-03,-1.123E-03
-7.60448E-03,-1.123E-03
-7.60428E-03,-1.513E-03
-7.60408E-03,-7.320E-04
-7.60388E-03,-2.099E-03
-7.60367E-03,-7.320E-04
-7.60347E-03,-1.123E-03
-7.60327E-03,-7.320E-04
-7.60307E-03,-1.318E-03
-7.60287E-03,-3.414E-04
-7.60267E-03,-1.461E-04
-7.60246E-03,-1.461E-04
-7.60226E-03,-9.273E-04
-7.60206E-03,-1.318E-03
-7.60186E-03,-9.273E-04
-7.60166E-03,-7.320E-04
-7.60146E-03,-9.273E-04
-7.60125E-03,-3.414E-04
-7.60105E-03,-9.273E-04
-7.60085E-03,-5.367E-04
-7.60065E-03,4.922E-05
-7.60045E-03,-5.367E-04
-7.60025E-03,-2.099E-03
-7.60004E-03,-1.318E-03
-7.59984E-03,-1.513E-03
-7.59964E-03,-1.709E-03
-7.59944E-03,-1.318E-03
-7.59924E-03,-1.318E-03
-7.59904E-03,-1.709E-03
-7.59884E-03,-1.513E-03
-7.59863E-03,-7.320E-04
-7.59843E-03,-1.318E-03
-7.59823E-03,-3.414E-04
-7.59803E-03,-9.273E-04
-7.59783E-03,-2.099E-03
-7.59763E-03,-1.904E-03
-7.59742E-03,-2.490E-03
-7.59722E-03,-2.685E-03
-7.59702E-03,-1.904E-03
-7.59682E-03,-2.099E-03
-7.59662E-03,-2.880E-03
-7.59642E-03,-2.099E-03
-7.59621E-03,-2.295E-03
-7.59601E-03,-1.513E-03
-7.59581E-03,-7.320E-04
-7.59561E-03,-1.709E-03
-7.59541E-03,-2.880E-03
-7.59521E-03,-1.123E-03
-7.59500E-03,-2.099E-03
-7.59480E-03,-2.099E-03
-7.59460E-03,-1.904E-03
-7.59440E-03,-3.076E-03
-7.59420E-03,-3.076E-03
-7.59400E-03,-2.295E-03
-7.59380E-03,-3.466E-03
-7.59359E-03,-2.490E-03
-7.59339E-03,-2.685E-03
-7.59319E-03,-2.880E-03
-7.59299E-03,-2.295E-03
-7.59279E-03,-2.099E-03
-7.59259E-03,-2.490E-03
-7.59238E-03,-2.295E-03
-7.59218E-03,-1.904E-03
-7.59198E-03,-2.099E-03
-7.59178E-03,-2.490E-03
-7.59158E-03,-2.880E-03
-7.59138E-03,-2.685E-03
-7.59117E-03,-3.076E-03
-7.59097E-03,-2.685E-03
-7.59077E-03,-2.099E-03
-7.59057E-03,-2.685E-03
-7.59037E-03,-3.076E-03
-7.59017E-03,-2.490E-03
-7.58996E-03,-2.099E-03
-7.58976E-03,-2.490E-03
-7.58956E-03,-2.880E-03
-7.58936E-03,-2.295E-03
-7.58916E-03,-2.490E-03
-7.58896E-03,-2.295E-03
-7.58876E-03,-2.685E-03
-7.58855E-03,-2.685E-03
-7.58835E-03,-2.295E-03
-7.58815E-03,-2.490E-03
-7.58795E-03,-2.685E-03
-7.58775E-03,-1.123E-03
-7.58755E-03,-2.685E-03
-7.58734E-03,-2.490E-03
-7.58714E-03,-2.099E-03
