in s,C1 in V
2.865366E-02,1.1432E+01
2.865417E-02,1.1461E+01
2.865468E-02,1.1441E+01
2.865518E-02,1.1422E+01
2.865569E-02,1.1441E+01
2.865619E-02,1.1451E+01
2.865670E-02,1.1461E+01
2.865720E-02,1.1451E+01
2.865771E-02,1.1480E+01
2.865821E-02,1.1480E+01
2.865872E-02,1.1461E+01
2.865923E-02,1.1471E+01
2.865973E-02,1.1471E+01
2.866024E-02,1.1480E+01
2.866074E-02,1.1480E+01
2.866125E-02,1.1471E+01
2.866175E-02,1.1461E+01
2.866226E-02,1.1441E+01
2.866276E-02,1.1432E+01
2.866327E-02,1.1471E+01
2.866378E-02,1.1451E+01
2.866428E-02,1.1451E+01
2.866479E-02,1.1451E+01
2.866529E-02,1.1461E+01
2.866580E-02,1.1480E+01
2.866630E-02,1.1422E+01
2.866681E-02,1.1412E+01
2.866732E-02,1.1441E+01
2.866782E-02,1.1461E+01
2.866833E-02,1.1441E+01
2.866883E-02,1.1451E+01
2.866934E-02,1.1480E+01
2.866984E-02,1.1480E+01
2.867035E-02,1.1461E+01
2.867085E-02,1.1480E+01
2.867136E-02,1.1480E+01
2.867187E-02,1.1461E+01
2.867237E-02,1.1490E+01
2.867288E-02,1.1480E+01
2.867338E-02,1.1480E+01
2.867389E-02,1.1461E+01
2.867439E-02,1.1471E+01
2.867490E-02,1.1490E+01
2.867540E-02,1.1480E+01
2.867591E-02,1.1480E+01
2.867642E-02,1.1451E+01
2.867692E-02,1.1480E+01
2.867743E-02,1.1441E+01
2.867793E-02,1.1471E+01
2.867844E-02,1.1451E+01
2.867894E-02,1.1471E+01
2.867945E-02,1.1461E+01
2.867996E-02,1.1480E+01
2.868046E-02,1.1451E+01
2.868097E-02,1.1471E+01
2.868147E-02,1.1471E+01
2.868198E-02,1.1471E+01
2.868248E-02,1.1490E+01
2.868299E-02,1.1471E+01
2.868349E-02,1.1480E+01
2.868400E-02,1.1480E+01
2.868451E-02,1.1471E+01
2.868501E-02,1.1480E+01
2.868552E-02,1.1471E+01
2.868602E-02,1.1500E+01
2.868653E-02,1.1461E+01
2.868703E-02,1.1480E+01
2.868754E-02,1.1461E+01
2.868804E-02,1.1490E+01
2.868855E-02,1.1451E+01
2.868906E-02,1.1480E+01
2.868956E-02,1.1480E+01
