in s,C2 in V
-1.49983E-02,3.287E-01
-1.49978E-02,3.482E-01
-1.49972E-02,3.580E-01
-1.49967E-02,3.287E-01
-1.49962E-02,2.994E-01
-1.49957E-02,3.092E-01
-1.49952E-02,3.092E-01
-1.49947E-02,3.189E-01
-1.49942E-02,3.678E-01
-1.49937E-02,3.092E-01
-1.49932E-02,3.482E-01
-1.49927E-02,3.385E-01
-1.49922E-02,3.482E-01
-1.49917E-02,3.287E-01
-1.49912E-02,3.287E-01
-1.49907E-02,3.385E-01
-1.49902E-02,3.385E-01
-1.49897E-02,3.482E-01
-1.49892E-02,3.092E-01
-1.49887E-02,3.385E-01
-1.49881E-02,3.189E-01
-1.49876E-02,2.896E-01
-1.49871E-02,3.385E-01
-1.49866E-02,2.896E-01
-1.49861E-02,3.092E-01
-1.49856E-02,2.799E-01
-1.49851E-02,2.994E-01
-1.49846E-02,3.287E-01
-1.49841E-02,3.092E-01
-1.49836E-02,3.385E-01
-1.49831E-02,3.092E-01
-1.49826E-02,3.092E-01
-1.49821E-02,3.189E-01
-1.49816E-02,2.994E-01
-1.49811E-02,3.189E-01
-1.49806E-02,2.701E-01
-1.49801E-02,2.896E-01
-1.49796E-02,2.701E-01
-1.49790E-02,2.701E-01
-1.49785E-02,2.701E-01
-1.49780E-02,2.799E-01
-1.49775E-02,2.799E-01
-1.49770E-02,2.994E-01
-1.49765E-02,2.701E-01
-1.49760E-02,2.701E-01
-1.49755E-02,2.896E-01
-1.49750E-02,2.896E-01
-1.49745E-02,2.799E-01
-1.49740E-02,2.994E-01
-1.49735E-02,2.799E-01
-1.49730E-02,2.896E-01
-1.49725E-02,2.799E-01
-1.49720E-02,2.799E-01
-1.49715E-02,2.799E-01
-1.49710E-02,3.092E-01
-1.49705E-02,2.896E-01
-1.49699E-02,2.896E-01
-1.49694E-02,2.701E-01
-1.49689E-02,2.799E-01
-1.49684E-02,2.604E-01
-1.49679E-02,2.896E-01
-1.49674E-02,2.701E-01
-1.49669E-02,2.994E-01
-1.49664E-02,2.799E-01
-1.49659E-02,2.994E-01
-1.49654E-02,2.994E-01
-1.49649E-02,2.799E-01
-1.49644E-02,2.604E-01
-1.49639E-02,2.799E-01
-1.49634E-02,2.896E-01
-1.49629E-02,2.506E-01
-1.49624E-02,2.896E-01
-1.49619E-02,2.701E-01
-1.49614E-02,2.701E-01
-1.49608E-02,2.701E-01
-1.49603E-02,2.604E-01
-1.49598E-02,2.701E-01
