in s,C1 in V
-5.63983E-02,1.1144E+01
-5.63974E-02,1.1203E+01
-5.63964E-02,1.1125E+01
-5.63955E-02,1.1242E+01
-5.63946E-02,1.1144E+01
-5.63936E-02,1.1164E+01
-5.63927E-02,1.1203E+01
-5.63917E-02,1.1144E+01
-5.63908E-02,1.1125E+01
-5.63898E-02,1.1203E+01
-5.63889E-02,1.1203E+01
-5.63880E-02,1.1184E+01
-5.63870E-02,1.1144E+01
-5.63861E-02,1.1144E+01
-5.63851E-02,1.1223E+01
-5.63842E-02,1.1144E+01
-5.63832E-02,1.1164E+01
-5.63823E-02,1.1164E+01
-5.63813E-02,1.1223E+01
-5.63804E-02,1.1144E+01
-5.63795E-02,1.1223E+01
-5.63785E-02,1.1184E+01
-5.63776E-02,1.1203E+01
-5.63766E-02,1.1164E+01
-5.63757E-02,1.1262E+01
-5.63747E-02,1.1203E+01
-5.63738E-02,1.1203E+01
-5.63728E-02,1.1203E+01
-5.63719E-02,1.1281E+01
-5.63710E-02,1.1203E+01
-5.63700E-02,1.1184E+01
-5.63691E-02,1.1144E+01
-5.63681E-02,1.1164E+01
-5.63672E-02,1.1223E+01
-5.63662E-02,1.1203E+01
-5.63653E-02,1.1144E+01
-5.63644E-02,1.1184E+01
-5.63634E-02,1.1144E+01
-5.63625E-02,1.1144E+01
-5.63615E-02,1.1144E+01
-5.63606E-02,1.1184E+01
-5.63596E-02,1.1125E+01
-5.63587E-02,1.1223E+01
-5.63577E-02,1.1144E+01
-5.63568E-02,1.1203E+01
-5.63559E-02,1.1144E+01
-5.63549E-02,1.1144E+01
-5.63540E-02,1.1125E+01
-5.63530E-02,1.1203E+01
-5.63521E-02,1.1125E+01
-5.63511E-02,1.1223E+01
-5.63502E-02,1.1203E+01
-5.63492E-02,1.1105E+01
-5.63483E-02,1.1144E+01
-5.63474E-02,1.1203E+01
-5.63464E-02,1.1105E+01
-5.63455E-02,1.1164E+01
-5.63445E-02,1.1144E+01
-5.63436E-02,1.1223E+01
-5.63426E-02,1.1125E+01
-5.63417E-02,1.1184E+01
-5.63408E-02,1.1223E+01
-5.63398E-02,1.1203E+01
-5.63389E-02,1.1203E+01
-5.63379E-02,1.1164E+01
-5.63370E-02,1.1164E+01
-5.63360E-02,1.1144E+01
-5.63351E-02,1.1105E+01
-5.63341E-02,1.1144E+01
-5.63332E-02,1.1203E+01
-5.63323E-02,1.1223E+01
-5.63313E-02,1.1105E+01
-5.63304E-02,1.1164E+01
-5.63294E-02,1.1144E+01
-5.63285E-02,1.1203E+01
-5.63275E-02,1.1144E+01
-5.63266E-02,1.1223E+01
-5.63256E-02,1.1144E+01
-5.63247E-02,1.1223E+01
-5.63238E-02,1.1203E+01
-5.63228E-02,1.1105E+01
-5.63219E-02,1.1125E+01
-5.63209E-02,1.1164E+01
-5.63200E-02,1.1125E+01
-5.63190E-02,1.1144E+01
-5.63181E-02,1.1125E+01
-5.63172E-02,1.1164E+01
-5.63162E-02,1.1144E+01
-5.63153E-02,1.1144E+01
-5.63143E-02,1.1086E+01
-5.63134E-02,1.1184E+01
-5.63124E-02,1.1125E+01
-5.63115E-02,1.1223E+01
-5.63105E-02,1.1164E+01
-5.63096E-02,1.1203E+01
-5.63087E-02,1.1144E+01
-5.63077E-02,1.1164E+01
-5.63068E-02,1.1184E+01
-5.63058E-02,1.1223E+01
-5.63049E-02,1.1144E+01
-5.63039E-02,1.1242E+01
-5.63030E-02,1.1164E+01
-5.63020E-02,1.1164E+01
-5.63011E-02,1.1184E+01
-5.63002E-02,1.1242E+01
-5.62992E-02,1.1184E+01
-5.62983E-02,1.1203E+01
-5.62973E-02,1.1164E+01
-5.62964E-02,1.1125E+01
-5.62954E-02,1.1164E+01
-5.62945E-02,1.1105E+01
-5.62936E-02,1.1223E+01
-5.62926E-02,1.1301E+01
-5.62917E-02,1.1184E+01
