in s,C2 in V
-2.84483E-02,1.335E+00
-2.84478E-02,1.344E+00
-2.84473E-02,1.325E+00
-2.84467E-02,1.364E+00
-2.84462E-02,1.344E+00
-2.84457E-02,1.335E+00
-2.84452E-02,1.325E+00
-2.84447E-02,1.344E+00
-2.84442E-02,1.344E+00
-2.84437E-02,1.325E+00
-2.84432E-02,1.325E+00
-2.84427E-02,1.305E+00
-2.84422E-02,1.305E+00
-2.84417E-02,1.344E+00
-2.84412E-02,1.325E+00
-2.84407E-02,1.364E+00
-2.84402E-02,1.344E+00
-2.84397E-02,1.344E+00
-2.84392E-02,1.325E+00
-2.84387E-02,1.305E+00
-2.84382E-02,1.335E+00
-2.84376E-02,1.335E+00
-2.84371E-02,1.335E+00
-2.84366E-02,1.335E+00
-2.84361E-02,1.344E+00
-2.84356E-02,1.325E+00
-2.84351E-02,1.344E+00
-2.84346E-02,1.325E+00
-2.84341E-02,1.344E+00
-2.84336E-02,1.344E+00
-2.84331E-02,1.335E+00
-2.84326E-02,1.335E+00
-2.84321E-02,1.354E+00
-2.84316E-02,1.354E+00
-2.84311E-02,1.344E+00
-2.84306E-02,1.354E+00
-2.84301E-02,1.354E+00
-2.84296E-02,1.364E+00
-2.84290E-02,1.344E+00
-2.84285E-02,1.344E+00
-2.84280E-02,1.305E+00
-2.84275E-02,1.305E+00
-2.84270E-02,1.335E+00
-2.84265E-02,1.344E+00
-2.84260E-02,1.354E+00
-2.84255E-02,1.354E+00
-2.84250E-02,1.344E+00
-2.84245E-02,1.344E+00
-2.84240E-02,1.335E+00
-2.84235E-02,1.296E+00
-2.84230E-02,1.325E+00
-2.84225E-02,1.325E+00
-2.84220E-02,1.325E+00
-2.84215E-02,1.315E+00
-2.84210E-02,1.305E+00
-2.84205E-02,1.344E+00
-2.84199E-02,1.305E+00
-2.84194E-02,1.354E+00
-2.84189E-02,1.305E+00
-2.84184E-02,1.364E+00
-2.84179E-02,1.335E+00
-2.84174E-02,1.296E+00
-2.84169E-02,1.335E+00
-2.84164E-02,1.344E+00
-2.84159E-02,1.305E+00
-2.84154E-02,1.315E+00
-2.84149E-02,1.344E+00
-2.84144E-02,1.335E+00
-2.84139E-02,1.325E+00
-2.84134E-02,1.315E+00
-2.84129E-02,1.335E+00
-2.84124E-02,1.344E+00
-2.84119E-02,1.335E+00
-2.84114E-02,1.335E+00
-2.84108E-02,1.344E+00
-2.84103E-02,1.344E+00
-2.84098E-02,1.315E+00
-2.84093E-02,1.354E+00
-2.84088E-02,1.335E+00
-2.84083E-02,1.364E+00
-2.84078E-02,1.344E+00
-2.84073E-02,1.315E+00
-2.84068E-02,1.325E+00
-2.84063E-02,1.354E+00
-2.84058E-02,1.335E+00
-2.84053E-02,1.325E+00
-2.84048E-02,1.354E+00
-2.84043E-02,1.305E+00
-2.84038E-02,1.344E+00
