in s,C3 in V
4.784008E-02,-6.836E-04
4.784028E-02,-9.766E-05
4.784048E-02,-1.270E-03
4.784068E-02,4.883E-04
4.784089E-02,-9.766E-05
4.784109E-02,-6.836E-04
4.784129E-02,-9.766E-05
4.784149E-02,-1.074E-03
4.784169E-02,-6.836E-04
4.784189E-02,-1.270E-03
4.784210E-02,-4.883E-04
4.784230E-02,-1.465E-03
4.784250E-02,-1.270E-03
4.784270E-02,-6.836E-04
4.784290E-02,-1.465E-03
4.784310E-02,-6.836E-04
4.784331E-02,-1.855E-03
4.784351E-02,-2.441E-03
4.784371E-02,-1.855E-03
4.784391E-02,-2.051E-03
4.784411E-02,-1.660E-03
4.784431E-02,-1.465E-03
4.784452E-02,-1.270E-03
4.784472E-02,-1.660E-03
4.784492E-02,-1.465E-03
4.784512E-02,-1.465E-03
4.784532E-02,-1.660E-03
4.784552E-02,-1.465E-03
4.784572E-02,-8.789E-04
4.784593E-02,-2.441E-03
4.784613E-02,-1.855E-03
4.784633E-02,-2.246E-03
4.784653E-02,-1.074E-03
4.784673E-02,-2.246E-03
4.784693E-02,-8.789E-04
4.784714E-02,-2.246E-03
4.784734E-02,-2.051E-03
4.784754E-02,-1.855E-03
4.784774E-02,-2.246E-03
4.784794E-02,-2.441E-03
4.784814E-02,-2.832E-03
4.784835E-02,-3.027E-03
4.784855E-02,-1.660E-03
4.784875E-02,-1.270E-03
4.784895E-02,-2.051E-03
4.784915E-02,-1.270E-03
4.784935E-02,-1.074E-03
4.784956E-02,-1.465E-03
4.784976E-02,-1.660E-03
4.784996E-02,-2.637E-03
4.785016E-02,-1.465E-03
4.785036E-02,-1.855E-03
4.785056E-02,-8.789E-04
4.785076E-02,-1.465E-03
4.785097E-02,-1.270E-03
4.785117E-02,-2.637E-03
4.785137E-02,-1.660E-03
4.785157E-02,-1.855E-03
4.785177E-02,-1.465E-03
4.785197E-02,-1.465E-03
4.785218E-02,-1.074E-03
4.785238E-02,2.930E-04
4.785258E-02,-6.836E-04
4.785278E-02,9.766E-05
4.785298E-02,-4.883E-04
4.785318E-02,-6.836E-04
4.785339E-02,-4.883E-04
4.785359E-02,-6.836E-04
4.785379E-02,-1.270E-03
4.785399E-02,-1.270E-03
4.785419E-02,-1.074E-03
4.785439E-02,-6.836E-04
4.785460E-02,-6.836E-04
4.785480E-02,-2.051E-03
4.785500E-02,-1.465E-03
4.785520E-02,-1.465E-03
4.785540E-02,-8.789E-04
4.785560E-02,-1.855E-03
4.785580E-02,-2.930E-04
4.785601E-02,-6.836E-04
