in s,C3 in V
-6.30004E-03,-1.149E-03
-6.29984E-03,4.137E-04
-6.29964E-03,-5.629E-04
-6.29943E-03,-7.461E-05
-6.29923E-03,-7.461E-05
-6.29903E-03,1.207E-04
-6.29883E-03,-1.723E-04
-6.29863E-03,-5.629E-04
-6.29843E-03,-4.652E-04
-6.29822E-03,-7.461E-05
-6.29802E-03,-5.629E-04
-6.29782E-03,-4.652E-04
-6.29762E-03,4.137E-04
-6.29742E-03,-4.652E-04
-6.29722E-03,-6.605E-04
-6.29701E-03,2.305E-05
-6.29681E-03,-9.535E-04
-6.29661E-03,-2.699E-04
-6.29641E-03,-5.629E-04
-6.29621E-03,-3.676E-04
-6.29601E-03,-7.461E-05
-6.29580E-03,-8.559E-04
-6.29560E-03,-3.676E-04
-6.29540E-03,-1.723E-04
-6.29520E-03,-7.582E-04
-6.29500E-03,-7.582E-04
-6.29480E-03,-8.559E-04
-6.29460E-03,-1.149E-03
-6.29439E-03,-1.637E-03
-6.29419E-03,-1.637E-03
-6.29399E-03,-1.637E-03
-6.29379E-03,-1.442E-03
-6.29359E-03,-2.321E-03
-6.29339E-03,-2.614E-03
-6.29318E-03,-2.125E-03
-6.29298E-03,-2.516E-03
-6.29278E-03,-2.321E-03
-6.29258E-03,-1.930E-03
-6.29238E-03,-2.321E-03
-6.29218E-03,-2.028E-03
-6.29197E-03,-3.004E-03
-6.29177E-03,-2.614E-03
-6.29157E-03,-2.028E-03
-6.29137E-03,-2.028E-03
-6.29117E-03,-2.907E-03
-6.29097E-03,-1.539E-03
-6.29076E-03,-1.735E-03
-6.29056E-03,-1.832E-03
-6.29036E-03,-9.535E-04
-6.29016E-03,-1.539E-03
-6.28996E-03,-1.832E-03
-6.28976E-03,-1.832E-03
-6.28956E-03,-1.246E-03
-6.28935E-03,-7.582E-04
-6.28915E-03,-1.344E-03
-6.28895E-03,-1.637E-03
-6.28875E-03,-1.246E-03
-6.28855E-03,-1.149E-03
-6.28835E-03,-1.723E-04
-6.28814E-03,-8.559E-04
-6.28794E-03,-7.461E-05
-6.28774E-03,-4.652E-04
-6.28754E-03,-7.582E-04
-6.28734E-03,-7.461E-05
-6.28714E-03,-4.652E-04
-6.28693E-03,-1.149E-03
-6.28673E-03,-1.246E-03
-6.28653E-03,-1.832E-03
-6.28633E-03,-1.539E-03
-6.28613E-03,-1.149E-03
-6.28593E-03,-1.246E-03
-6.28572E-03,-1.051E-03
-6.28552E-03,-1.149E-03
-6.28532E-03,-1.051E-03
-6.28512E-03,-1.930E-03
-6.28492E-03,-1.442E-03
-6.28472E-03,-1.832E-03
-6.28452E-03,-1.832E-03
-6.28431E-03,-1.930E-03
-6.28411E-03,-1.246E-03
-6.28391E-03,-1.051E-03
-6.28371E-03,-1.246E-03
-6.28351E-03,-1.735E-03
-6.28331E-03,-6.605E-04
-6.28310E-03,-1.442E-03
-6.28290E-03,-5.629E-04
-6.28270E-03,-3.676E-04
-6.28250E-03,1.207E-04
-6.28230E-03,-7.461E-05
-6.28210E-03,5.113E-04
-6.28189E-03,5.113E-04
-6.28169E-03,6.090E-04
-6.28149E-03,9.020E-04
-6.28129E-03,1.390E-03
-6.28109E-03,4.137E-04
-6.28089E-03,9.020E-04
-6.28068E-03,4.137E-04
-6.28048E-03,1.195E-03
-6.28028E-03,5.113E-04
-6.28008E-03,8.043E-04
-6.27988E-03,1.976E-03
-6.27968E-03,1.195E-03
-6.27948E-03,1.390E-03
-6.27927E-03,1.195E-03
-6.27907E-03,1.293E-03
-6.27887E-03,3.160E-04
-6.27867E-03,1.207E-04
-6.27847E-03,2.305E-05
-6.27827E-03,6.090E-04
-6.27806E-03,3.160E-04
-6.27786E-03,2.184E-04
-6.27766E-03,3.160E-04
-6.27746E-03,7.066E-04
-6.27726E-03,6.090E-04
-6.27706E-03,4.137E-04
-6.27685E-03,6.090E-04
-6.27665E-03,7.066E-04
-6.27645E-03,8.043E-04
-6.27625E-03,8.043E-04
-6.27605E-03,7.066E-04
-6.27585E-03,1.683E-03
-6.27564E-03,1.293E-03
-6.27544E-03,1.293E-03
-6.27524E-03,1.390E-03
-6.27504E-03,1.195E-03
-6.27484E-03,1.195E-03
-6.27464E-03,9.996E-04
-6.27444E-03,7.066E-04
-6.27423E-03,9.996E-04
-6.27403E-03,1.097E-03
-6.27383E-03,1.488E-03
-6.27363E-03,1.488E-03
-6.27343E-03,1.683E-03
-6.27323E-03,1.976E-03
-6.27302E-03,1.683E-03
-6.27282E-03,1.097E-03
