in s,C1 in V
-2.42983E-02,5.713E-01
-2.42978E-02,5.518E-01
-2.42972E-02,5.518E-01
-2.42967E-02,5.811E-01
-2.42962E-02,5.811E-01
-2.42957E-02,5.615E-01
-2.42952E-02,5.518E-01
-2.42947E-02,5.713E-01
-2.42942E-02,5.518E-01
-2.42937E-02,5.518E-01
-2.42932E-02,5.713E-01
-2.42927E-02,5.518E-01
-2.42922E-02,5.518E-01
-2.42917E-02,5.713E-01
-2.42912E-02,6.006E-01
-2.42907E-02,5.615E-01
-2.42902E-02,5.518E-01
-2.42897E-02,5.713E-01
-2.42892E-02,5.420E-01
-2.42887E-02,5.420E-01
-2.42881E-02,5.615E-01
-2.42876E-02,5.615E-01
-2.42871E-02,5.518E-01
-2.42866E-02,5.615E-01
-2.42861E-02,5.811E-01
-2.42856E-02,5.713E-01
-2.42851E-02,5.713E-01
-2.42846E-02,5.713E-01
-2.42841E-02,5.615E-01
-2.42836E-02,5.615E-01
-2.42831E-02,5.420E-01
-2.42826E-02,5.615E-01
-2.42821E-02,5.811E-01
-2.42816E-02,5.713E-01
-2.42811E-02,5.713E-01
-2.42806E-02,6.006E-01
-2.42801E-02,5.811E-01
-2.42796E-02,5.518E-01
-2.42790E-02,5.908E-01
-2.42785E-02,6.006E-01
-2.42780E-02,5.908E-01
-2.42775E-02,5.518E-01
-2.42770E-02,5.713E-01
-2.42765E-02,5.615E-01
-2.42760E-02,5.908E-01
-2.42755E-02,5.811E-01
-2.42750E-02,5.908E-01
-2.42745E-02,5.811E-01
-2.42740E-02,5.908E-01
-2.42735E-02,5.713E-01
-2.42730E-02,5.713E-01
-2.42725E-02,5.713E-01
-2.42720E-02,5.713E-01
-2.42715E-02,6.104E-01
-2.42710E-02,5.811E-01
-2.42705E-02,5.908E-01
-2.42699E-02,5.713E-01
-2.42694E-02,6.201E-01
-2.42689E-02,6.006E-01
-2.42684E-02,6.006E-01
-2.42679E-02,6.201E-01
-2.42674E-02,6.201E-01
-2.42669E-02,5.811E-01
-2.42664E-02,6.006E-01
-2.42659E-02,6.006E-01
-2.42654E-02,5.908E-01
-2.42649E-02,6.104E-01
-2.42644E-02,6.104E-01
-2.42639E-02,6.104E-01
-2.42634E-02,6.201E-01
-2.42629E-02,6.006E-01
-2.42624E-02,6.006E-01
-2.42619E-02,5.908E-01
-2.42614E-02,6.201E-01
-2.42608E-02,6.201E-01
-2.42603E-02,6.104E-01
-2.42598E-02,6.104E-01
-2.42593E-02,5.908E-01
-2.42588E-02,6.104E-01
-2.42583E-02,6.201E-01
-2.42578E-02,5.811E-01
-2.42573E-02,6.006E-01
-2.42568E-02,6.006E-01
-2.42563E-02,6.104E-01
-2.42558E-02,5.713E-01
-2.42553E-02,6.104E-01
-2.42548E-02,5.811E-01
-2.42543E-02,5.811E-01
-2.42538E-02,5.811E-01
-2.42533E-02,5.811E-01
-2.42528E-02,5.908E-01
-2.42522E-02,6.104E-01
-2.42517E-02,5.908E-01
-2.42512E-02,5.811E-01
-2.42507E-02,5.713E-01
-2.42502E-02,6.006E-01
-2.42497E-02,5.615E-01
-2.42492E-02,5.713E-01
-2.42487E-02,5.811E-01
-2.42482E-02,5.713E-01
-2.42477E-02,5.811E-01
-2.42472E-02,6.104E-01
-2.42467E-02,5.713E-01
-2.42462E-02,6.006E-01
-2.42457E-02,5.908E-01
-2.42452E-02,5.908E-01
-2.42447E-02,5.908E-01
-2.42442E-02,5.518E-01
-2.42437E-02,5.713E-01
-2.42431E-02,5.713E-01
-2.42426E-02,6.104E-01
-2.42421E-02,6.006E-01
-2.42416E-02,5.713E-01
-2.42411E-02,5.713E-01
-2.42406E-02,5.908E-01
-2.42401E-02,5.713E-01
-2.42396E-02,5.713E-01
-2.42391E-02,6.006E-01
-2.42386E-02,5.811E-01
-2.42381E-02,5.713E-01
-2.42376E-02,5.811E-01
-2.42371E-02,6.006E-01
-2.42366E-02,5.518E-01
-2.42361E-02,5.615E-01
-2.42356E-02,5.811E-01
-2.42351E-02,5.518E-01
-2.42346E-02,5.811E-01
-2.42340E-02,5.713E-01
-2.42335E-02,6.006E-01
-2.42330E-02,5.908E-01
-2.42325E-02,5.811E-01
-2.42320E-02,6.104E-01
-2.42315E-02,5.713E-01
-2.42310E-02,6.104E-01
-2.42305E-02,6.006E-01
-2.42300E-02,5.811E-01
-2.42295E-02,5.713E-01
-2.42290E-02,5.908E-01
-2.42285E-02,5.518E-01
-2.42280E-02,5.908E-01
-2.42275E-02,5.811E-01
-2.42270E-02,5.518E-01
-2.42265E-02,5.908E-01
-2.42260E-02,5.615E-01
-2.42255E-02,5.713E-01
-2.42249E-02,5.908E-01
-2.42244E-02,5.713E-01
-2.42239E-02,5.518E-01
-2.42234E-02,5.713E-01
-2.42229E-02,5.518E-01
-2.42224E-02,5.615E-01
-2.42219E-02,5.811E-01
-2.42214E-02,6.006E-01
-2.42209E-02,6.104E-01
-2.42204E-02,5.615E-01
-2.42199E-02,5.713E-01
-2.42194E-02,5.518E-01
-2.42189E-02,5.615E-01
-2.42184E-02,5.518E-01
-2.42179E-02,5.420E-01
-2.42174E-02,5.420E-01
-2.42169E-02,5.713E-01
-2.42164E-02,6.006E-01
-2.42158E-02,5.713E-01
-2.42153E-02,5.518E-01
-2.42148E-02,5.811E-01
-2.42143E-02,5.811E-01
-2.42138E-02,5.518E-01
-2.42133E-02,5.908E-01
-2.42128E-02,5.811E-01
-2.42123E-02,5.811E-01
-2.42118E-02,5.908E-01
-2.42113E-02,6.104E-01
-2.42108E-02,5.908E-01
-2.42103E-02,5.908E-01
-2.42098E-02,5.908E-01
-2.42093E-02,5.908E-01
-2.42088E-02,6.104E-01
-2.42083E-02,6.006E-01
-2.42078E-02,6.006E-01
-2.42073E-02,5.811E-01
-2.42067E-02,6.006E-01
-2.42062E-02,5.713E-01
-2.42057E-02,5.420E-01
-2.42052E-02,5.518E-01
