in s,C3 in V
-3.96153E-03,6.352E-04
-3.96133E-03,4.398E-04
-3.96113E-03,8.305E-04
-3.96093E-03,4.922E-05
-3.96073E-03,8.305E-04
-3.96052E-03,2.445E-04
-3.96032E-03,8.305E-04
-3.96012E-03,4.398E-04
-3.95992E-03,1.221E-03
-3.95972E-03,6.352E-04
-3.95952E-03,8.305E-04
-3.95932E-03,2.445E-04
-3.95911E-03,-1.461E-04
-3.95891E-03,1.416E-03
-3.95871E-03,8.305E-04
-3.95851E-03,1.026E-03
-3.95831E-03,1.221E-03
-3.95811E-03,6.352E-04
-3.95790E-03,1.026E-03
-3.95770E-03,1.612E-03
-3.95750E-03,6.352E-04
-3.95730E-03,6.352E-04
-3.95710E-03,8.305E-04
-3.95690E-03,1.612E-03
-3.95669E-03,-1.461E-04
-3.95649E-03,2.445E-04
-3.95629E-03,6.352E-04
-3.95609E-03,-3.414E-04
-3.95589E-03,-5.367E-04
-3.95569E-03,-7.320E-04
-3.95548E-03,-1.461E-04
-3.95528E-03,-5.367E-04
-3.95508E-03,-1.123E-03
-3.95488E-03,-3.414E-04
-3.95468E-03,-5.367E-04
-3.95448E-03,-1.123E-03
-3.95428E-03,-7.320E-04
-3.95407E-03,-3.414E-04
-3.95387E-03,-1.461E-04
-3.95367E-03,-5.367E-04
-3.95347E-03,4.922E-05
-3.95327E-03,-3.414E-04
-3.95307E-03,-3.414E-04
-3.95286E-03,-7.320E-04
-3.95266E-03,-1.123E-03
-3.95246E-03,-7.320E-04
-3.95226E-03,4.922E-05
-3.95206E-03,4.922E-05
-3.95186E-03,-3.414E-04
-3.95165E-03,-3.414E-04
-3.95145E-03,-1.461E-04
-3.95125E-03,-9.273E-04
-3.95105E-03,-1.904E-03
-3.95085E-03,-1.513E-03
-3.95065E-03,-1.318E-03
-3.95044E-03,-1.709E-03
-3.95024E-03,-2.295E-03
-3.95004E-03,-3.076E-03
-3.94984E-03,-2.880E-03
-3.94964E-03,-2.685E-03
-3.94944E-03,-3.076E-03
-3.94924E-03,-2.685E-03
-3.94903E-03,-1.513E-03
-3.94883E-03,-2.295E-03
-3.94863E-03,-2.295E-03
-3.94843E-03,-2.099E-03
-3.94823E-03,-1.904E-03
-3.94803E-03,-2.295E-03
-3.94782E-03,-1.318E-03
-3.94762E-03,-1.513E-03
-3.94742E-03,-1.318E-03
-3.94722E-03,-1.709E-03
-3.94702E-03,-1.513E-03
-3.94682E-03,-2.880E-03
-3.94661E-03,-1.318E-03
-3.94641E-03,-5.367E-04
-3.94621E-03,-5.367E-04
-3.94601E-03,-1.513E-03
-3.94581E-03,-9.273E-04
-3.94561E-03,-1.904E-03
-3.94540E-03,-1.513E-03
-3.94520E-03,-2.099E-03
-3.94500E-03,-5.367E-04
-3.94480E-03,-9.273E-04
-3.94460E-03,-2.099E-03
-3.94440E-03,4.922E-05
-3.94420E-03,-9.273E-04
-3.94399E-03,-1.318E-03
-3.94379E-03,-1.123E-03
-3.94359E-03,-7.320E-04
-3.94339E-03,-5.367E-04
-3.94319E-03,-9.273E-04
-3.94299E-03,-7.320E-04
-3.94278E-03,-1.123E-03
-3.94258E-03,2.445E-04
-3.94238E-03,6.352E-04
-3.94218E-03,4.922E-05
-3.94198E-03,4.922E-05
-3.94178E-03,4.922E-05
-3.94157E-03,4.922E-05
-3.94137E-03,-1.461E-04
-3.94117E-03,-7.320E-04
-3.94097E-03,4.398E-04
-3.94077E-03,-1.461E-04
-3.94057E-03,-9.273E-04
-3.94036E-03,-1.513E-03
-3.94016E-03,-1.318E-03
-3.93996E-03,4.922E-05
-3.93976E-03,-7.320E-04
-3.93956E-03,-5.367E-04
-3.93936E-03,-9.273E-04
-3.93916E-03,-7.320E-04
-3.93895E-03,-1.461E-04
-3.93875E-03,-7.320E-04
