in s,C1 in V
-9.198259E-03,5.0226E+00
-9.197754E-03,5.0226E+00
-9.197248E-03,5.0323E+00
-9.196742E-03,5.0274E+00
-9.196237E-03,5.0421E+00
-9.195731E-03,5.0470E+00
-9.195226E-03,5.0372E+00
-9.194720E-03,5.0274E+00
-9.194214E-03,5.0470E+00
-9.193709E-03,5.0519E+00
-9.193203E-03,5.0616E+00
-9.192698E-03,5.0665E+00
-9.192192E-03,5.0519E+00
-9.191686E-03,5.0323E+00
-9.191181E-03,5.0616E+00
-9.190675E-03,5.0567E+00
-9.190170E-03,5.0616E+00
-9.189664E-03,5.0567E+00
-9.189158E-03,5.0616E+00
-9.188653E-03,5.0372E+00
-9.188147E-03,5.0226E+00
-9.187642E-03,5.0470E+00
-9.187136E-03,5.0616E+00
-9.186630E-03,5.0616E+00
-9.186125E-03,5.0616E+00
-9.185619E-03,5.0665E+00
-9.185114E-03,5.0567E+00
-9.184608E-03,5.0567E+00
-9.184102E-03,5.0470E+00
-9.183597E-03,5.0665E+00
-9.183091E-03,5.0470E+00
-9.182586E-03,5.0616E+00
-9.182080E-03,5.0812E+00
-9.181574E-03,5.0567E+00
-9.181069E-03,5.0519E+00
-9.180563E-03,5.0714E+00
-9.180058E-03,5.0665E+00
-9.179552E-03,5.0665E+00
-9.179046E-03,5.0519E+00
-9.178541E-03,5.0665E+00
-9.178035E-03,5.0470E+00
-9.177530E-03,5.0421E+00
-9.177024E-03,5.0519E+00
-9.176518E-03,5.0714E+00
-9.176013E-03,5.0567E+00
-9.175507E-03,5.0812E+00
-9.175002E-03,5.0860E+00
-9.174496E-03,5.1056E+00
-9.173990E-03,5.0860E+00
-9.173485E-03,5.0860E+00
-9.172979E-03,5.1007E+00
-9.172474E-03,5.0958E+00
-9.171968E-03,5.0714E+00
-9.171462E-03,5.0567E+00
-9.170957E-03,5.0567E+00
-9.170451E-03,5.0519E+00
-9.169946E-03,5.0812E+00
-9.169440E-03,5.0616E+00
-9.168934E-03,5.0616E+00
-9.168429E-03,5.0519E+00
-9.167923E-03,5.0714E+00
-9.167418E-03,5.0812E+00
-9.166912E-03,5.0909E+00
-9.166406E-03,5.0665E+00
-9.165901E-03,5.0763E+00
-9.165395E-03,5.0665E+00
-9.164890E-03,5.0763E+00
-9.164384E-03,5.0763E+00
-9.163878E-03,5.0812E+00
-9.163373E-03,5.0665E+00
-9.162867E-03,5.0567E+00
-9.162362E-03,5.0567E+00
-9.161856E-03,5.0519E+00
-9.161350E-03,5.0567E+00
-9.160845E-03,5.0860E+00
-9.160339E-03,5.0763E+00
-9.159834E-03,5.0812E+00
-9.159328E-03,5.0812E+00
-9.158822E-03,5.0958E+00
-9.158317E-03,5.0958E+00
-9.157811E-03,5.0909E+00
-9.157306E-03,5.0909E+00
-9.156800E-03,5.0812E+00
-9.156294E-03,5.0763E+00
-9.155789E-03,5.0958E+00
-9.155283E-03,5.0714E+00
-9.154778E-03,5.0567E+00
-9.154272E-03,5.0763E+00
-9.153766E-03,5.0860E+00
-9.153261E-03,5.0763E+00
-9.152755E-03,5.0812E+00
-9.152250E-03,5.0812E+00
-9.151744E-03,5.0714E+00
-9.151238E-03,5.0763E+00
-9.150733E-03,5.0812E+00
-9.150227E-03,5.0812E+00
-9.149722E-03,5.0665E+00
-9.149216E-03,5.0616E+00
-9.148710E-03,5.0519E+00
-9.148205E-03,5.0616E+00
-9.147699E-03,5.0274E+00
-9.147194E-03,5.0274E+00
-9.146688E-03,5.0616E+00
-9.146182E-03,5.0519E+00
-9.145677E-03,5.0714E+00
-9.145171E-03,5.0665E+00
-9.144666E-03,5.0665E+00
-9.144160E-03,5.0812E+00
-9.143654E-03,5.0616E+00
-9.143149E-03,5.0616E+00
-9.142643E-03,5.0616E+00
-9.142138E-03,5.0616E+00
-9.141632E-03,5.0665E+00
-9.141126E-03,5.0860E+00
-9.140621E-03,5.0763E+00
-9.140115E-03,5.0665E+00
-9.139610E-03,5.0616E+00
-9.139104E-03,5.0616E+00
-9.138598E-03,5.0763E+00
-9.138093E-03,5.0567E+00
-9.137587E-03,5.0616E+00
-9.137082E-03,5.0616E+00
-9.136576E-03,5.0665E+00
-9.136070E-03,5.0616E+00
-9.135565E-03,5.0665E+00
-9.135059E-03,5.0763E+00
-9.134554E-03,5.0616E+00
-9.134048E-03,5.0665E+00
-9.133542E-03,5.0812E+00
-9.133037E-03,5.0470E+00
-9.132531E-03,5.0616E+00
-9.132026E-03,5.0909E+00
-9.131520E-03,5.0812E+00
-9.131014E-03,5.0812E+00
-9.130509E-03,5.0812E+00
-9.130003E-03,5.0714E+00
-9.129498E-03,5.0909E+00
-9.128992E-03,5.0616E+00
-9.128486E-03,5.0714E+00
-9.127981E-03,5.0812E+00
-9.127475E-03,5.0665E+00
-9.126970E-03,5.0812E+00
-9.126464E-03,5.0763E+00
-9.125958E-03,5.0763E+00
-9.125453E-03,5.0616E+00
-9.124947E-03,5.0616E+00
-9.124442E-03,5.0665E+00
-9.123936E-03,5.0763E+00
-9.123430E-03,5.0665E+00
-9.122925E-03,5.0812E+00
-9.122419E-03,5.0763E+00
-9.121914E-03,5.0616E+00
-9.121408E-03,5.0665E+00
-9.120902E-03,5.0958E+00
-9.120397E-03,5.0958E+00
-9.119891E-03,5.0812E+00
-9.119386E-03,5.0812E+00
-9.118880E-03,5.0714E+00
-9.118374E-03,5.0958E+00
-9.117869E-03,5.0860E+00
-9.117363E-03,5.0567E+00
-9.116858E-03,5.0519E+00
-9.116352E-03,5.0665E+00
-9.115846E-03,5.0567E+00
-9.115341E-03,5.0665E+00
-9.114835E-03,5.0763E+00
-9.114330E-03,5.0616E+00
-9.113824E-03,5.0323E+00
-9.113318E-03,5.0812E+00
-9.112813E-03,5.0714E+00
-9.112307E-03,5.0665E+00
-9.111802E-03,5.0714E+00
-9.111296E-03,5.0763E+00
-9.110790E-03,5.0616E+00
-9.110285E-03,5.0812E+00
-9.109779E-03,5.0812E+00
-9.109274E-03,5.0812E+00
-9.108768E-03,5.0812E+00
-9.108262E-03,5.0812E+00
-9.107757E-03,5.0812E+00
-9.107251E-03,5.0812E+00
-9.106746E-03,5.0812E+00
-9.106240E-03,5.0958E+00
-9.105734E-03,5.0909E+00
-9.105229E-03,5.0763E+00
-9.104723E-03,5.0812E+00
-9.104218E-03,5.0860E+00
-9.103712E-03,5.0714E+00
-9.103206E-03,5.0616E+00
-9.102701E-03,5.0470E+00
-9.102195E-03,5.0616E+00
-9.101690E-03,5.0616E+00
-9.101184E-03,5.0616E+00
-9.100678E-03,5.0519E+00
-9.100173E-03,5.0470E+00
-9.099667E-03,5.0372E+00
-9.099162E-03,5.0372E+00
-9.098656E-03,5.0665E+00
-9.098150E-03,5.0812E+00
-9.097645E-03,5.0665E+00
-9.097139E-03,5.0519E+00
-9.096634E-03,5.0616E+00
-9.096128E-03,5.0470E+00
-9.095622E-03,5.0470E+00
-9.095117E-03,5.0519E+00
-9.094611E-03,5.0763E+00
-9.094106E-03,5.0616E+00
-9.093600E-03,5.0177E+00
-9.093094E-03,5.0323E+00
-9.092589E-03,5.0372E+00
-9.092083E-03,5.0567E+00
-9.091578E-03,5.0372E+00
-9.091072E-03,5.0519E+00
-9.090566E-03,5.0323E+00
-9.090061E-03,5.0616E+00
-9.089555E-03,5.0519E+00
-9.089050E-03,5.0470E+00
-9.088544E-03,5.0519E+00
-9.088038E-03,5.0567E+00
-9.087533E-03,5.0665E+00
-9.087027E-03,5.0714E+00
-9.086522E-03,5.0665E+00
-9.086016E-03,5.0812E+00
-9.085510E-03,5.0616E+00
-9.085005E-03,5.0665E+00
-9.084499E-03,5.0665E+00
-9.083994E-03,5.0616E+00
-9.083488E-03,5.0665E+00
-9.082982E-03,5.0763E+00
-9.082477E-03,5.0519E+00
-9.081971E-03,5.0665E+00
-9.081466E-03,5.0519E+00
-9.080960E-03,5.0470E+00
-9.080454E-03,5.0616E+00
-9.079949E-03,5.0616E+00
-9.079443E-03,5.0470E+00
-9.078938E-03,5.0470E+00
